,player,teams
164,Anthony Martial,"['Lyon', 'Monaco', 'Manchester United', 'Man Utd', 'Olympique Lyonnais', 'Olympique Lyon…', 'Monaco II']"
165,Marcus Rashford,['Manchester United']
166,Pau López Sabata,"['Roma', 'Tottenham', 'Espanyol II', 'Betis', 'Tottenham Hots…', 'Tottenham Hotspur', 'Espanyol', 'Real Betis']"
167,Luka Jović,"['Eintracht Fran…', 'Real Madrid', 'Benfica II', 'Benfica', 'Crvena Zvezda', 'Frankfurt']"
168,Gonçalo Manuel Ganchinho Guedes,"['Benfica II', 'PSG', 'Benfica', 'Valencia']"
169,Nicolas Pépé,"['Lille', 'Stade Poitevin', 'Orléans', 'Angers SCO II', 'Angers', 'Angers SCO', 'Arsenal']"
170,Marco Asensio Willemsen,"['Real Madrid', 'Mallorca', 'Espanyol']"
171,Jonathan Tah,"['Hamburger SV', 'Bayer Leverkusen', 'Leverkusen', 'Hamburger SV U19', 'Düsseldorf', 'Fortuna Dusseldorf', 'Hamburger SV II', 'Hamburg']"
172,Corentin Tolisso,"['Lyon', 'Bayern München', 'Olympique Lyonnais', 'Olympique Lyon…', 'Bayern Munich']"
173,Adrien Rabiot,"['Toulouse II', 'Juventus', 'PSG II', 'PSG', 'Toulouse']"
174,Lucas Digne,"['Roma', 'Lille', 'Lille II', 'Everton', 'PSG', 'Barcelona']"
175,Alejandro Grimaldo García,"['Barcelona II', 'Benfica', 'Barcelona']"
176,Timo Werner,"['Chelsea', 'Stuttgart II', 'RB Leipzig', 'Stuttgart', 'Leipzig', 'Stuttgart U19']"
177,John Stones,"['Manchester City', 'Man City', 'Everton', 'Barnsley']"
178,Thomas Lemar,"['Caen II', 'Monaco', 'Atlético', 'Atletico Madrid', 'Caen']"
179,Davinson Sánchez,"['Tottenham', 'Ajax II', 'Atl. Nacional', 'Ajax', 'Tottenham Hotspur', 'Atlético Nacional']"
180,Julian Draxler,"['Schalke 04', 'Wolfsburg', 'PSG']"
181,Koen Casteels,"['Genk', 'Hoffenheim II', 'Hoffenheim', 'Werder Bremen', 'Wolfsburg', 'Bremen']"
182,Sébastien Haller,"['West Ham United', 'Auxerre', 'Eintracht Fran…', 'Ajax', 'Auxerre II', 'Frankfurt', 'West Ham', 'Utrecht']"
183,Borja Iglesias Quintas,"['Celta Vigo', 'Villarreal', 'Betis', 'Espanyol', 'Zaragoza', 'Real Zaragoza', 'Celta de Vigo II', 'Real Betis']"
184,Yannick Ferreira Carrasco,"['Monaco', 'Atlético', 'Dalian Pro', 'Atletico Madrid', 'Monaco II']"
185,Jordan Pickford,"['Carlisle United', 'Preston', 'Carlisle', 'Alfreton', 'Preston North End', 'Bradford', 'Everton', 'Bradford City', 'Darlington FC', 'Sunderland U23', 'Alfreton Town', 'Burton Albion', 'Sunderland']"
186,Álvaro Borja Morata Martín,"['Chelsea', 'Juventus', 'Real Madrid', 'Atlético', 'Atletico Madrid', 'Real Madrid II']"
187,Francisco Alcácer García,"['Dortmund', 'Valencia II', 'Villarreal', 'Borussia Dortmund', 'Valencia', 'Barcelona', 'Getafe']"
188,Wilfried Zaha,"['Cardiff', 'Manchester United', 'Man Utd', 'Cardiff City', 'Crystal Palace']"
189,Marc Bartra Aregall,"['Dortmund', 'Betis', 'Borussia Dortmund', 'Barcelona', 'Barcelona II', 'Real Betis']"
190,Djené Dakonam Ortega,"['Getafe', 'Sint-Truiden', 'Cotonsport', 'Alcorcón']"
191,Luiz Frello Filho Jorge,"['Verona', 'Chelsea', 'Hellas Verona', 'Napoli']"
192,Kevin Trapp,"['Kaiserslautern', 'Eintracht Fran…', 'Kaiserslautern II', 'PSG', 'Frankfurt']"
193,Federico Bernardeschi,"['Juventus', 'Fiorentina', 'Crotone']"
194,Lucas Rodrigues M. Silva,"['São Paulo', 'Tottenham', 'Tottenham Hotspur', 'PSG']"
195,Oscar dos Santos Emboaba Júnior,"['Internacional', 'Chelsea', 'São Paulo', 'Shanghai Port']"
196,Jasper Cillessen,"['NEC', 'Ajax II', 'Ajax', 'Barcelona', 'Valencia']"
197,Gianluigi Buffon,"['Juventus', 'Parma', 'PSG']"
198,Pablo Sarabia García,"['Real Madrid', 'Real Madrid II', 'PSG', 'Getafe', 'Sevilla']"
199,Florian Thauvin,"['Grenoble', 'Grenoble Foot 38', 'Newcastle', 'Lille', 'Newcastle United', 'Bastia', 'Marseille', 'Olympique Mars…']"
200,William Silva de Carvalho,"['Cercle Brugge', 'Fátima', 'Sporting CP', 'Betis', 'Real Betis']"
201,Vincent Kompany,[]
202,Iker Casillas Fernández,"['Real Madrid', 'Porto']"
203,Raúl Albiol Tortajada,"['Real Madrid', 'Villarreal', 'Napoli', 'Valencia', 'Getafe']"
204,Rui Pedro dos Santos Patrício,"['Sporting CP', 'Wolverhampton …', 'Wolverhampton']"
205,Carlos Alberto Vela Garrido,"['Osasuna', 'Guadalajara', 'West Bromwich …', 'Los Angeles', 'West Bromwich', 'Real Sociedad', 'UD Salamanca', 'Arsenal']"
206,João Miranda de Souza Filho,"['Inter', 'Jiangsu', 'Internazionale', 'Coritiba', 'Jiangsu FC', 'Atlético', 'Atletico Madrid', 'Sochaux', 'São Paulo']"
207,Radja Nainggolan,"['Roma', 'Inter', 'Internazionale', 'Piacenza', 'Cagliari']"
208,Rune  Almenning Jarstein,"['Odd', 'Hertha BSC', 'Rosenborg', 'Hertha BSC II', 'Viking']"
209,Radamel Falcao García Zárate,"['Chelsea', 'Monaco', 'River Plate', 'Manchester United', 'Porto', 'Atlético', 'Atletico Madrid', 'Galatasaray', 'Man Utd']"
210,Fabio Quagliarella,"['Juventus', 'Sampdoria', 'Napoli', 'Ascoli', 'Udinese', 'Torino']"
211,Kasper Schmeichel,"['Notts', 'Cardiff', 'Darlington', 'Leicester City', 'Bury', 'Coventry', 'Leeds', 'Falkirk', 'Leeds United', 'Coventry City', 'Darlington FC', 'Leicester', 'Manchester City', 'Man City', 'Notts County']"
212,Ezequiel Marcelo Garay,"['Zenit', 'Real Madrid', 'Racing Santander', ""Newell's Old Boys"", 'Benfica', 'Valencia', 'Santander', 'NOB']"
213,Jordan Brian Henderson,"['Liverpool', 'Coventry', 'Coventry City', 'Sunderland']"
214,Asier Illarramendi Andonegi,"['Real Sociedad', 'Real Madrid', 'Real Sociedad II']"
215,Diego da Silva Costa,"['Chelsea', 'Braga', 'Sporting Braga', 'Real Valladolid', 'Celta Vigo', 'Vallecano', 'Albacete', 'Atlético', 'Valladolid', 'Atletico Madrid', 'Penafiel', 'Rayo Vallecano']"
216,David Luiz Moreira Marinho,"['Chelsea', 'Vitória', 'Benfica', 'PSG', 'Arsenal']"
217,Daley Blind,"['Ajax II', 'Manchester United', 'Groningen', 'Man Utd', 'Ajax']"
218,Aaron Ramsey,"['Juventus', 'Cardiff', 'Nottm Forest', 'Cardiff City', 'Nottingham Forest', 'Arsenal']"
219,Max Kruse,"[""Borussia M'gla…"", 'Union Berlin', 'Fenerbahçe', 'Werder Bremen', 'Werder Bremen II', ""M'gladbach"", 'Wolfsburg', 'Freiburg', 'St. Pauli', 'Bremen']"
220,Éver Maximiliano David Banega,"['Inter', 'Internazionale', 'Boca Juniors', 'Atlético', ""Newell's Old Boys"", 'Atletico Madrid', 'Valencia', 'Sevilla', 'NOB']"
221,Sami Khedira,"['Stuttgart', 'Juventus', 'Stuttgart II', 'Real Madrid']"
